Codigo_SIGMA,Sector,Ubicacion,Maquina,Modelo,Fabricante,Anio
BV-CAL-BOMBAPLA-001,Caldera,Bomba de Agua Tratada,Bomba Planta Osmosis,Desconocido,,
BV-CAL-BOMBADEA-001,Caldera,Bombas de Alimentacíon,Bomba de Alimentación N° 1,KSB Multitec C100-6,,
BV-CAL-BOMBADEA-002,Caldera,Bombas de Alimentacíon,Bomba de Alimentación N° 1 HPB,KSB Multitec C100-6,,
BV-CAL-BOMBADEA-003,Caldera,Bombas de Alimentacíon,Bomba de Alimentación N° 2 HPB,KSB Multitec C100-6,,
BV-CAL-BOMBADEA-004,Caldera,Bombas de Alimentacíon,Bomba de Alimentación N° 2,kSB WL 80-6,,
BV-CAL-BOMBADEA-005,Caldera,Bombas de Alimentacíon,Bomba de Alimentación N° 3,kSB WL 80-6,,
BV-CAL-BOMBADEA-006,Caldera,Bombas de Alimentacíon,Bomba de Alimentación N° 4,kSB WL 80-6,,
BV-CAL-GUSANODE-001,Caldera,Caldera HPB,Gusano de Ceniza,Desconocido,,
BV-CAL-COMPRESO-001,Caldera,Compresor Calderas,Compresor,TCG 416,,
BV-CAL-BOMBADES-001,Caldera,Gusano Economizador HPB,Bomba Dessol Este,Serie: Q-2P 60HP,,
BV-CAL-BOMBADES-002,Caldera,Gusano Economizador HPB,Bomba Dessol Oeste,Serie :Q -2P 10 HP,,
BV-CAL-BOMBADEC-001,Caldera,Lavado de Gases CAREN,Bomba de Ceniza BSI Este,BSI FVA 150-125-315,,
BV-CAL-BOMBADEC-002,Caldera,Lavado de Gases CAREN,Bomba de Ceniza BSI Oeste,BSI FVA 150-125-315,,
BV-CAL-BOMBADEC-003,Caldera,Lavado de Gases FOSTER,Bomba de Ceniza BSI Norte,BSI FVA 150-125-315,,
BV-CAL-BOMBADEC-004,Caldera,Lavado de Gases FOSTER,Bomba de Ceniza BSI Sur,BSI FVA 150-125-315,,
BV-CAL-BOMBADEC-005,Caldera,Lavado de Gases HPB,Bomba de Ceniza BSI Norte 1,BSI FVA 150-125-315,,
BV-CAL-BOMBADEC-006,Caldera,Lavado de Gases HPB,Bomba de Ceniza BSI Norte 2,BSI FVA 150-125-315,,
BV-CAL-BOMBADEB-001,Caldera,Pileton de Ceniza,Bomba de Barro BSI Norte,BSI FVA 150-125-315,,
BV-CAL-BOMBADEB-002,Caldera,Pileton de Ceniza,Bomba de Barro BSI Sur,BSI FVA 150-125-315,,
BV-CAL-BOMBADEC-007,Caldera,Recuperación de Agua de Lavado,Bomba de Ceniza BSI Central,BSI FVA 200-150-400,,
BV-CAL-BOMBADEC-008,Caldera,Recuperación de Agua de Lavado,Bomba de Ceniza BSI Sur,BSI FVA 200-150-400,,
BV-CAL-TURBOCAP-001,Caldera,Turbo Bomba,Turbo Capus Este,Regulador T.G. 10,,
BV-CAL-TURBOCAP-002,Caldera,Turbo Bomba,Turbo Capus Este,COPUS,,
BV-CAL-TURBOCOP-001,Caldera,Turbo Bomba,Turbo Copus Oeste,COPUS,,
BV-CAL-TURBOCOP-002,Caldera,Turbo Bomba,Turbo Copus Oeste (Lado Manchon),COPUS,,
BV-CAL-BOMBADEA-007,Caldera,Turbo Bomba,Bomba de Alimentación Turbo Este,KSB WL 80-6,,
BV-CAL-BOMBADEA-008,Caldera,Turbo Bomba,Bomba de Alimentación Turbo Oeste,KSB WL 80-6,,
BV-CAL-BOMBADEA-009,Caldera,Tanque de Agua de Reseva,Bomba de Agua de Tanque de Reserva Norte,CSB 80-20,,
BV-CAL-BOMBADEA-010,Caldera,Tanque de Agua de Reseva,Bomba de Agua de Tanque de Reserva Norte,KSB 100-40,,
BV-CAN-TURBINAT-001,Canchón,1ra. Cuchilla,Turbina TGM,CPC,,
BV-CAN-TURBINAT-002,Canchón,1ra. Cuchilla,Turbina TGM,Tipo: SZNT - 360; Serie: 8883-10/01,,
BV-CAN-REDUCTOR-001,Canchón,1ra. Cuchilla,Reductor de Alta Flender,Tipo: SZNT - 360; Serie: 8883-10/01,,
BV-CAN-ROTOR1RA-001,Canchón,1ra. Cuchilla,Rotor 1ra. Cuchillas,,,
BV-CAN-TURBINAT-003,Canchón,1ra. Cuchilla,Turbina TGM,Servomotor,,
BV-CAN-TURBINAT-004,Canchón,1ra. Cuchilla,Turbina TGM,TMFLEX 2000 - Año 2007 (OS 40695),,
BV-CAN-TURBINAT-005,Canchón,1ra. Cuchilla,Turbina TGM,,,
BV-CAN-TRASMISI-001,Canchón,Conductora Auxiliar,Trasmision correa,,,
BV-CAN-TRASMISI-002,Canchón,Conductora Auxiliar,Trasmision correa eje de mando,,,
BV-CAN-BOMBADES-001,Canchón,Desagote Conductora Auxiliar,Bomba Desagote,BSI VLN,,
BV-CAN-ROTORDES-001,Canchón,Desfibrador,Rotor Desfibrador,,,
BV-CAN-TURBINAT-006,Canchón,Desfibrador,Turbina TGM,TM 2000 - Año 2005 (OS 40520),,
BV-CAN-CUSHCUSH-001,Canchón,Mesa de Caña larga,Cush-Cush,,,
BV-EFL-COMPRESO-001,Efluente,Acequia,Compresor,Kaeser,,
BV-FAB-BOMBADEA-001,Fábrica,Agua Caliente Norte,Bomba de Agua Caliente Norte N° 1,KSB ETA 80-40,,
BV-FAB-BOMBADEA-002,Fábrica,Agua Caliente Norte,Bomba de Agua Caliente Norte N° 2,KSB Mega Norm 80-315,,
BV-FAB-BOMBADEA-003,Fábrica,Agua Caliente Norte,Bomba de Agua Caliente Norte N° 3,KSB Mega Norm 80-315,,
BV-FAB-BOMBADEA-004,Fábrica,Agua Caliente Sur,Bomba de Agua Caliente Sur N° 1,KSB ETA 80-40,,
BV-FAB-BOMBADEA-005,Fábrica,Agua Caliente Sur,Bomba de Agua Caliente Sur N° 2,KSB ETA 80-40,,
BV-FAB-BOMBADEA-006,Fábrica,Agua Caliente Sur,Bomba de Agua Caliente Sur N° 3,KSB Mega Norm 50-315,,
